SKU,Price,Title,Assets,Description,Brand,Category,Stock
RCAS-SW2,6.49,Europa Metal Standard Handle Selector Switches + Collar (IP65) RCAS-SW2,https://www.europa-plc.com/_uploads/europa/xRCAS-SW2_H_555_W_555.jpg.pagespeed.ic.dm3sLz5Zb8.webp,"
				IP65 rated when installed",Europa,Accessories,100
RCAS-PBP3,3.15,Europa Metal Projecting Push Button + Collar (IP65) RCAS-PBP3,https://www.europa-plc.com/_uploads/europa/xRCAS-PBP3_H_555_W_555.jpg.pagespeed.ic.oFA9YyK3jv.webp,"
				IP65 rated when installed",Europa,Accessories,100
RCAS-PBF5,2.73,Europa Metal Flush Push Button Head + Collar (IP65) RCAS-PBF5,https://www.europa-plc.com/_uploads/europa/xRCAS-PBF5_H_555_W_555.jpg.pagespeed.ic.OeXhXJpmQ7.webp,"
				IP65 Rated when Installed",Europa,Accessories,100
RCAS-PBF3,2.73,Europa Metal Flush Push Button Head + Collar (IP65) RCAS-PBF3,https://www.europa-plc.com/_uploads/europa/xRCAS-PBF3_H_555_W_555.jpg.pagespeed.ic.-xuzX7WTAc.webp,"
				IP65 Rated when Installed",Europa,Accessories,100
RCAS-PBF2,2.73,Europa Metal Flush Push Button Head + Collar (IP65) RCAS-PBF2,https://www.europa-plc.com/_uploads/europa/xRCAS-PBF2_H_555_W_555.jpg.pagespeed.ic.tOCt7PE7h7.webp,"
				IP65 Rated when Installed",Europa,Accessories,100
RCAS-ES564,12.73,Europa Metal Emergency Stop Buttons + Collar (Latching) (IP65) RCAS-ES564,https://www.europa-plc.com/_uploads/europa/xRCAS-ES564_H_555_W_555.jpg.pagespeed.ic.kicXuRK69n.webp,"
				IP65 Rated when Installed, 60mm Mushroom Head",Europa,Accessories,100
RCAS-ES542,8.23,Europa Metal Emergency Stop Buttons + Collar (Latching) (IP65) RCAS-ES542,https://www.europa-plc.com/_uploads/europa/xRCAS-ES542_H_555_W_555.jpg.pagespeed.ic.UxeXVd2AdI.webp,"
				IP65 rated when installed, 40mm mushroom head",Europa,Accessories,100
RCAS-ES54,5.97,Europa Metal Emergency Stop Buttons + Collar (Latching) (IP65) RCAS-ES54,https://www.europa-plc.com/_uploads/europa/xRCAS-ES54_H_555_W_555.jpg.pagespeed.ic.TtR5lbRssa.webp,"
				IP65 rated when installed, 40mm mushroom head",Europa,Accessories,100
RCAS-BG7,9.27,Europa Metal Key Operated Selector Switches (IP65) RCAS-BG7,https://www.europa-plc.com/_uploads/europa/xRCAS-BG7_H_555_W_555.jpg.pagespeed.ic.Bu6EKZEd1b.webp,"
				IP65 rated when installed",Europa,Accessories,100
RC-3M,25.42,Europa Metal Empty Control Stations (IP65) RC-3M,https://www.europa-plc.com/_uploads/www.europa-plc.com/xRC3M_H_555_W_555.jpg.pagespeed.ic.1HOCKQUN0v.webp,"
				IP65 rated when installed, Cable entry top & bottom, H:134 x W:68 x D:51mm",Europa,Accessories,100
RC2PGR,19.11,Europa 2 Position Plastic Control Station (IP65) RC2PGR,https://www.europa-plc.com/_uploads/europa/xRC2PGR_H_555_W_555.jpg.pagespeed.ic.16R84scEod.webp,"
				IP65 rated when installed",Europa,Accessories,100
RC-2M,23.18,Europa Metal Empty Control Stations (IP65) RC-2M,https://www.europa-plc.com/_uploads/www.europa-plc.com/xRC2M_H_555_W_555.jpg.pagespeed.ic.AUeaAZjv77.webp,"
				IP65 rated when installed, Cable entry top & bottom, H:104 x W:68 x D:51mm",Europa,Accessories,100
RB2-PY9330,1.78,Europa Accessories for 22.5mm Push Buttons RB2-PY9330,https://www.europa-plc.com/_uploads/www.europa-plc.com/xRB2-PY9330_H_555_W_555.jpg.pagespeed.ic.W47YnRwnJ6.webp,"
				Suitable for use with all 22mm diameter push buttons",Europa,Accessories,100
RAS-PB133,2.59,Europa Illuminated Flush Push-Button Head Only (IP65) RAS-PB133,https://www.europa-plc.com/_uploads/europa/xRAS-PB133_H_555_W_555.jpg.pagespeed.ic.bwblz-fGVp.webp,"
				IP65 rated when installed, Collar is supplied with the lamp holder",Europa,Accessories,100
RAS-LP06,2.08,Europa Lamp Head Only 22.5 mm RAS-LP06,https://www.europa-plc.com/_uploads/europa/xRAS-LP06_H_555_W_555.jpg.pagespeed.ic._fiCRZ6UsK.webp,"
				Collar is supplied with the lamp holder",Europa,Lamp,100
RAS-LP05,2.08,Europa Lamp Head Only 22.5 mm RAS-LP05,https://www.europa-plc.com/_uploads/europa/xRAS-LP05_H_555_W_555.jpg.pagespeed.ic.ByM_IshY3e.webp,"
				Collar is supplied with the lamp holder",Europa,Lamp,100
RAS-CBNC,2.14,Europa Auxiliary Contact Blocks RAS-CBNC,https://www.europa-plc.com/_uploads/europa/xRAS-CBNC_H_555_W_555.jpg.pagespeed.ic.9jJR2KmzCG.webp,"
				IP65 rated when installed",Europa,Accessories,100
RAS-BCBNC,2.14,Europa Auxiliary Contact Blocks RAS-BCBNC,https://www.europa-plc.com/_uploads/europa/xRAS-BCBNC_H_555_W_555.jpg.pagespeed.ic.8zDjz5EPqs.webp,"
				IP65 rated when installed, Rated up to 240V at 10A",Europa,Accessories,100
RAP2-BD3,6.45,Europa Plastic Weatherproof Stay Put Selector Switches + Mounting Clip (IP67) RAP2-BD3,https://www.europa-plc.com/_uploads/www.europa-plc.com/xRAP2-BD3_H_555_W_555.jpg.pagespeed.ic.0nPvgw5yuU.webp,"
				IP67 Rated when installed, Mounting clip included",Europa,Lamp,100
RADT225P,4.83,Europa 22mm LED With Lamp Test Facility (IP65) RADT225P,https://www.europa-plc.com/_uploads/europa/xRADT225P_H_555_W_555.jpg.pagespeed.ic.6OErbayIbN.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RADT221P,4.83,Europa 22mm LED With Lamp Test Facility (IP65) RADT221P,https://www.europa-plc.com/_uploads/europa/xRADT221P_H_555_W_555.jpg.pagespeed.ic.qacqUE3q3i.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
RAD226P,2.44,Europa 22mm LED Pilot Lamps (IP65) RAD226P,https://www.europa-plc.com/_uploads/europa/xRAD226P_H_555_W_555.jpg.pagespeed.ic.JRzecEy4nn.webp,"
				IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",Europa,Lamp,100
